Algorithm,Language,GPT,avg_cpu_mean,avg_cpu_sd,avg_cpu_cv,avg_cpu_range,avg_mem_mean,avg_mem_sd,avg_mem_cv,avg_mem_range,run_time.s._mean,run_time.s._sd,run_time.s._cv,run_time.s._range,total_energy.J._mean,total_energy.J._sd,total_energy.J._cv,total_energy.J._range,average_power.W._mean,average_power.W._sd,average_power.W._cv,average_power.W._range
regexredux,js,False,33.07333333333333,0.7999712638517112,0.024187802777213604,4.299999999999997,3.693233333333333,0.030562184582205238,0.008275183781746413,0.18400000000000016,2.4304585536,0.16236888680878,0.06680586532458202,0.5534949299999998,8.924615866666667,0.5508394122297059,0.0617213581468626,1.8810310000000001,3.6719566196666666,0.050808052853724736,0.013836779166072228,0.18406041800000006
regexredux,js,True,33.42,1.2421893908573773,0.037169042215959826,5.100000000000001,3.6928666666666667,0.016608542324988075,0.004497466013301701,0.07600000000000007,2.4459188222666666,0.1637046810308156,0.06692972781455936,0.5034799579999998,8.993122966666666,0.5088780684683732,0.05658524523177856,1.7589480000000002,3.6799702261333334,0.059991440703860456,0.016302153826634476,0.24286283100000006
regexredux,py,False,30.35,4.289803467887946,0.1413444305729142,17.85,3.6772666666666667,0.01792692702734293,0.004875068536596819,0.06300000000000017,3.4454850434333335,0.6366307862079733,0.18477247127260427,1.7494533060000004,12.8235408,2.1094689816301195,0.164499728626443,6.057646,3.7375796597333335,0.11645607897673688,0.031158153023833,0.4260263099999997
regexredux,py,True,32.916666666666664,0.9920662287865909,0.030138720874529346,5.699999999999999,3.6818666666666666,0.016382777612445665,0.004449584706791573,0.08199999999999985,2.4977640151,0.17424718171038872,0.06976126673976948,0.5398638239999998,9.2021044,0.5333745392564927,0.057962235166174894,1.9938670000000016,3.6879370077666667,0.07358464479563911,0.019952793293560173,0.29191939300000014
revcomp,cpp,False,9.863333333333333,5.620251763494005,0.5698126154269014,31.9,3.6392666666666664,0.004645601058571694,0.001276521201681207,0.02100000000000035,2.3764251311666666,0.15263898666672715,0.0642305051671422,0.561892748,8.581627433333333,0.43183021072596744,0.05032031675584325,1.5903620000000007,3.6133229439,0.06787747318859348,0.01878533257127875,0.28390250399999983
revcomp,cpp,True,9.629999999999999,6.848113256395062,0.7111228718997988,29.5,3.6390333333333333,0.0036717310897453025,0.0010089852863155882,0.016000000000000014,2.332949590766667,0.10853013735267672,0.04652056683188381,0.5733482839999997,8.4645871,0.34638350884954194,0.04092148911191923,1.7024579999999991,3.629433452533333,0.05322701727735259,0.014665379038758872,0.21001139600000007
revcomp,java,False,33.166666666666664,1.1692418213447582,0.03525352225160075,5.099999999999998,3.711,0.03085226197486207,0.008313732679833487,0.10499999999999998,2.3683755159666666,0.13041865205682446,0.05506671183585231,0.512924194,8.626573566666666,0.3931114268688646,0.04556982257565839,1.668711,3.642968639733333,0.04841055839249747,0.01328876616298326,0.17336512299999995
revcomp,java,True,32.276666666666664,4.846163312412686,0.1501444793683575,31.2,3.7149,0.028535942248329588,0.007681483283084225,0.1120000000000001,2.3651489178333334,0.1542381384805078,0.06521286559063788,0.5527069570000003,8.691107766666667,0.4681223408603031,0.053862217962100334,1.7059599999999993,3.676703857366667,0.05309199305428014,0.014440105897543173,0.23381428199999998
revcomp,js,False,32.98,0.6840044363639145,0.02073997684547952,3.1000000000000014,3.7036333333333333,0.00501365950271809,0.0013537137862958241,0.02200000000000024,2.379129378,0.14120916114586088,0.05935329219656287,0.42354607600000005,8.7523176,0.4314025235006524,0.04929009014716884,1.4439199999999985,3.6822539346,0.057124664367872,0.015513504875669963,0.22813672900000004
revcomp,js,True,33.00666666666667,0.9930563526508598,0.030086538658377897,5.399999999999999,3.7016,0.00525619503128423,0.0014199792066361115,0.019000000000000128,2.3533003569,0.14294464955206357,0.06074220366003955,0.5092363359999998,8.7077799,0.42221837823460356,0.048487488554298845,1.575279,3.7018932200333334,0.06330269249340355,0.01710008601837347,0.23246659699999972
revcomp,py,False,32.85666666666667,0.6489691206368982,0.01975152036025864,3.099999999999998,3.6905666666666668,0.008779613271403383,0.0023789336609743895,0.04300000000000015,2.3853825648333333,0.15207224808865344,0.06375172281821333,0.5432608129999998,8.819697066666667,0.4674266464090035,0.05299803869405048,1.6872179999999997,3.6996035289,0.06334336947530199,0.017121664248746088,0.2833357510000001
revcomp,py,True,33.016666666666666,0.8843791250259183,0.02678583922339985,4.5,3.6914666666666665,0.014258048745287313,0.0038624346452956317,0.07900000000000018,2.4199236393,0.17725834854270656,0.0732495627812377,0.5315599439999996,8.943989233333333,0.5339265312153286,0.05969668760617902,1.650373,3.694910974,0.0656470530697385,0.017766883568150215,0.22195220999999998
spectralnorm,c,False,31.908333333333335,0.5582090408917912,0.017494145966835975,2.365000000000002,3.642733333333333,0.003331493745260927,9.145587778209386e-4,0.0129999999999999,25.354655473,0.9364700347680117,0.03693483572534646,3.4282472099999985,94.21851176666667,2.8305308075411766,0.03004219398573204,10.719806000000005,3.7165677209666668,0.03162607485276717,0.00850948434878548,0.11689555299999999
spectralnorm,c,True,8.833333333333334,5.415579908664116,0.6130845179619753,30.9,3.6456666666666666,0.003294021055282377,9.035442228990702e-4,0.01399999999999979,2.3808043242,0.14832635140397996,0.062300941701212975,0.4949448110000003,8.578726766666666,0.40585898871157,0.04730993301809865,1.3828629999999986,3.6076976165,0.06926236768146034,0.019198495839752524,0.25081474400000037
spectralnorm,java,False,32.43333333333333,2.8147803654543138,0.08678665052788224,18.6,3.7231,0.016702983421305766,0.004486310714540508,0.09100000000000019,2.3625316143,0.1415858312000894,0.059929708598646714,0.505410672,8.7297805,0.40788567523424146,0.04672347434557392,1.5851050000000004,3.6927677299,0.07035188241273511,0.019051261156531024,0.29953200099999977
spectralnorm,java,True,32.946666666666665,2.4293795622486134,0.07373673296990935,14.900000000000002,3.7178333333333335,0.02712434119121557,0.007295738877809361,0.11000000000000032,2.3536664008,0.12246191441225529,0.05203027683559194,0.47688031200000003,8.6853406,0.3495036862104063,0.04024064251555158,1.3531300000000002,3.6961884972,0.06105017639467908,0.016517062493140392,0.25942444899999995
